Comment,Designator,Footprint,LCSC
Ferrite_Bead_Small,FB1,C_0805_2012Metric,C1017
100n,"C1,C2",C_0402_1005Metric,C1525
470p,C5,C_0402_1005Metric,C1537
270pF +/-1pF,C6,C_0402_1005Metric,C161545
USB_C_Receptacle_USB2.0,J1,USB_Type_C_C167321,C165948
Conn_Coaxial,J4,RCA,C18080
1N4148WS,D1,D_SOD-323,C2128
160R,R18,R_0603_1608Metric,C22814
430R,"R16,R4",R_0603_1608Metric,C23170
820R,R8,R_0603_1608Metric,C23253
4.7u,C4,C_0402_1005Metric,C23733
75R,"R12,R13,R14,R15",R_0402_1005Metric,C25133
91,R10,R_0603_1608Metric,C25199
100K,R3,R_0402_1005Metric,C25741
10K,"R5,R7",R_0402_1005Metric,C25744
47K,"R11,R17",R_0402_1005Metric,C25792
1K5,R6,R_0402_1005Metric,C25867
2K2,R9,R_0402_1005Metric,C25879
5K1,"R1,R2",R_0402_1005Metric,C25905
THS7374,U1,TSSOP-14_4.4x5mm_P0.65mm,C2652746
SW_SPDT,SW1,SW_SPDT_C393937,C393937
Q_Dual_NMOS_G1S2G2D2S1D1,Q1,SOT-363_SC-70-6,C396098 
BC846BDW1,Q3,SOT-363_SC-70-6,C513269
330u,"C7,C8,C9",CP_EIA-7343-31_Kemet-D,C7226
DB15_Female_HighDensity,J2,DSUB-15-HD_LCSC_C75754,C75754
8.2u,L1,L_1210_3225Metric,C76845
Q_NMOS_GSD,Q2,SOT-23,C8545
Mini-DIN-4,J3,MiniDin4,
